0,6,Success guess,Material price and agent yourself.,https://m.media-amazon.com/images/I/61AcT0ZuO3L.jpg
1,2,Their change hear,Scientist wonder field direction.,"https://m.media-amazon.com/images/I/61YNwmfTUOL._AC_UF894,1000_QL80_.jpg"
2,1,Become notice,Upon tough.,https://m.media-amazon.com/images/I/61AcT0ZuO3L.jpg
3,0,Prepare executive never,Difficult meet.,"https://m.media-amazon.com/images/I/91eY5tY-pGS._AC_UF894,1000_QL80_.jpg"
4,3,Build she after,Special indeed eight game.,https://m.media-amazon.com/images/I/611DiOFTVfL.jpg
5,8,Side already,Occur democratic she.,"https://m.media-amazon.com/images/I/61x-ngKuW3L._AC_UF894,1000_QL80_.jpg"
6,5,Spring market,Owner line.,"https://m.media-amazon.com/images/I/51xT9lbPAmL._AC_UF1000,1000_QL80_.jpg"
7,1,Newspaper system strong,Resource picture sell store.,https://m.media-amazon.com/images/I/51aX6Nv7rAL.jpg
8,4,Director walk,Base place class determine.,https://m.media-amazon.com/images/I/61AcT0ZuO3L.jpg
9,7,View grow into,Perhaps open.,"https://m.media-amazon.com/images/I/61YNwmfTUOL._AC_UF894,1000_QL80_.jpg"
10,5,Paper,Cut head keep scientist until.,"https://m.media-amazon.com/images/I/51xT9lbPAmL._AC_UF1000,1000_QL80_.jpg"
11,3,Face quickly forward,Must hair.,"https://m.media-amazon.com/images/I/61x-ngKuW3L._AC_UF894,1000_QL80_.jpg"
12,4,Item option friend,Hotel control blue that.,"https://m.media-amazon.com/images/I/61Q79ulDs6L._AC_UF1000,1000_QL80_.jpg"
13,2,Group might red,Use movie majority up make.,https://m.media-amazon.com/images/I/61AcT0ZuO3L.jpg
14,4,Policy lead lay,Property several.,"https://m.media-amazon.com/images/I/61Q79ulDs6L._AC_UF1000,1000_QL80_.jpg"
15,1,Material over,Let after store when contain.,https://m.media-amazon.com/images/I/51aX6Nv7rAL.jpg
16,0,Job fine program,Each particularly offer future born.,https://m.media-amazon.com/images/I/611DiOFTVfL.jpg
